titles,author_journal,abstracts,n_citations,author,journal,page,year
Intergenerational Mobility as a Prediction Problem: Theory and Evidence from Norway and Britain,"J Blundell, E Risa - 2018 - cep.lse.ac.uk","… As discussed in the introduction, this paper contributes to the intergenerational mobility
literature by drawing on machine learning techniques to create a new measure of mobility. Ap…",4,"J Blundell, E Risa",,cep.lse.ac.uk,2018
Explaining Income Inequality and Intergenerational Mobility: The Role of Fertility and Family Transfers,"D Daruich, J Kozlowski - Available at SSRN 2699516, 2016 - papers.ssrn.com","… intergenerational mobility? We study the sources of income inequality and intergenerational
mobility … Second, this correlation can lead to lower intergenerational mobility, as the children …",5,"D Daruich, J Kozlowski",Available at SSRN ,papers.ssrn.com,2699516
Are today's inequalities limiting tomorrow's opportunities? A review of the social sciences literature on economic inequality and intergenerational mobility,"E Jacobs, L Hipple - Washington Center for Equitable Growth, 2018 - equitablegrowth.org","… Research exploring the channels shaping intergenerational mobility is much further
along in some areas than others, so our policy analysis of this research is similarly unevenly …",5,"E Jacobs, L Hipple",Washington Center for Equitable Growth,equitablegrowth.org,2018
What the Mean Measures of Mobility Miss: Learning About Intergenerational Mobility from Conditional Variance,"MN Ahsan, MS Emran, H Jiang, F Shilpi - Available at SSRN, 2022 - papers.ssrn.com","… We are not aware of any studies on intergenerational mobility that provide estimates of
equation (2). In the related but distinct literature on inequality of opportunity that grew out of …",NA,"MN Ahsan, MS Emran, H Jiang, F Shilpi",Available at SSRN,papers.ssrn.com,2022
The implications of intergenerational class mobility for class theory: A comment on Western,"PW Kingston - Social Forces, 1996 - academic.oup.com","… Western correctly notes that Marxist class analysis has given remarkably little attention to
intergenerational mobility. This neglect is undefendable. Virtually all class theory, Marxist and …",18,PW Kingston,Social Forces,academic.oup.com,1996
"Occupations, organizations, and intragenerational career mobility","AL Kalleberg, T Mouw - Annual Review of Sociology, 2018 - annualreviews.org","… Intragenerational mobility—persistent or … to intergenerational mobility and inequality as well
as to labor market theories and behaviors. Careers are job sequences or patterns of mobility/…",61,"AL Kalleberg, T Mouw",Annual Review of Sociology,annualreviews.org,2018
Intergenerational economic mobility for low-income parents and their children: A dual developmental science framework,"TJ Sabol, TE Sommer… - Annual review of …, 2021 - annualreviews.org","… perspective to the issue of intergenerational economic mobility. More specifically, we …
and children together in order to foster economic mobility. We focus on two key populations: …",7,"TJ Sabol, TE Sommer…",Annual review of …,annualreviews.org,2021
Intergenerational earnings mobility in Singapore and the United States,"IYH Ng, X Shen, KW Ho - Journal of Asian Economics, 2009 - Elsevier","This study compared intergenerational earnings mobility in Singapore and the United States
by replicating the sample criteria in the Singapore National Youth Survey on the US Panel …",47,"IYH Ng, X Shen, KW Ho",Journal of Asian Economics,Elsevier,2009
The role of other family members in intergenerational occupational mobility,"SH Beck - Sociological Quarterly, 1983 - Wiley Online Library","… intergenerational mobility may be less frequent than is indicated in traditional father-son
mobility … is perhaps more important, is that intergenerational mobility may be overestimated by …",29,SH Beck,Sociological Quarterly,Wiley Online Library,1983
On the way to becoming a society of downward mobility? Intergenerational occupational mobility in seven West German birth cohorts (1944–1978),"R Nennstiel - Research in social stratification and mobility, 2021 - Elsevier","… In order to estimate social mobility patterns net of … intergenerational mobility patterns.
Using this operationalization, I aim to answer the question of how far intergenerational mobility …",3,R Nennstiel,Research in social stratification and mobility,Elsevier,2021
Intergenerational social mobility and religious ecology: Disaggregating the conservative Protestant bloc,"J Clark, S Stroope - Social Science Research, 2018 - Elsevier","… In the following sections, we will propose mechanisms by which religious ecology can affect
intergenerational mobility. These mechanisms are not meant to be viewed as exhaustive, or …",9,"J Clark, S Stroope",Social Science Research,Elsevier,2018
Does intergenerational social mobility affect antagonistic attitudes towards ethnic minorities?,"J Tolsma, ND De Graaf… - The British Journal of …, 2009 - Wiley Online Library","… The sample sizes used in this contribution depend on the type of intergenerational mobility
(… Parameter estimates from diagonal mobility models for intergenerational class mobility in …",69,"J Tolsma, ND De Graaf…",The British Journal of …,Wiley Online Library,2009
Intergenerational transmission of educational attainment in Germany–the last five decades,"G Heineck, RT Riphahn - Jahrbücher für Nationalökonomie und …, 2009 - degruyter.com","… features particularly low intergenerational mobility with respect to educational attainment.
This study investigates the development in intergenerational education mobility in Germany for …",241,"G Heineck, RT Riphahn",Jahrbücher für Nationalökonomie und …,degruyter.com,2009
The Evolution of Global Absolute Intergenerational Mobility,"Y Berman - THE LEGACY OF TONY ATKINSON IN INEQUALITY …, 2018 - lisdatacenter.org","… They found that this measure of absolute mobility has decreased … intergenerational mobility
and use it to present new estimates of the evolution of absolute intergenerational mobility in …",2,Y Berman,THE LEGACY OF TONY ATKINSON IN INEQUALITY …,lisdatacenter.org,2018
Intergenerational income mobility and the role of family background,"A Björklund, M Jäntti - Oxford handbook of economic inequality, 2009 - researchgate.net","… An interesting example of the consequences of low versus high mobility stems from the
sociological literature on social class mobility. … The higher US mobility implied that fathers and …",557,"A Björklund, M Jäntti",Oxford handbook of economic inequality,researchgate.net,2009
Trends in the intergenerational transmission of cultural and economic status,"PM De Graaf, M Kalmijn - Acta Sociologica, 2001 - journals.sagepub.com","… Research on intergenerational occupational mobility in … of intergenerational mobility follows
different patterns in these two dimensions. The main hypothesis is that the intergenerational …",151,"PM De Graaf, M Kalmijn",Acta Sociologica,journals.sagepub.com,2001
"Public education financing systems, earnings inequality, and intergenerational mobility","C Herrington - 2013 Meeting Papers, 2013 - economicdynamics.org","Among developed countries there are large and well-documented differences in earnings
inequality and intergenerational earnings mobility. Public education financing systems are …",5,C Herrington, Meeting Papers,economicdynamics.org,2013
Essays on Intergenerational Mobility,R Zafar - 2021 - search.proquest.com,"… intergenerational mobility in future, which raises both economic and ethical concerns. Countries
should value intergenerational mobility … because low intergenerational mobility can lead …",NA,R Zafar,,search.proquest.com,2021
Direct measures of intergenerational income mobility for Australia,"C Murray, RG Clark, S Mendolia… - Economic Record, 2018 - Wiley Online Library","… We present the first Australian estimates of intergenerational mobility that draw on direct
observations of income from two generations. Using panel data for three birth cohorts of young …",19,"C Murray, RG Clark, S Mendolia…",Economic Record,Wiley Online Library,2018
